name,description,latitude,longitude,color
焦がしらーめん 麺屋誠,"評価4.0のお店
担々麺からつけ麺まであり、
お酒や一品料理もあります。",35.83849096,139.959457,red
中華菜館,"評価3.7、中華料理のお店。
辛いラーメンはもちろん普通のラーメンもあり量が多い。
チャーハンなども絶品。",35.83098794,139.9560678,red
激旨麺厨房 劉,"評価4.3。担々麺が有名な中華料理のお店。
辛さを大中小から選べるので得意じゃない人にもおすすめ。",35.83655471,139.9459398,red
中華 英(はなぶさ) 四川ラーメンの店,"評価4.2。四川ラーメンのお店、無料で辛さ20倍まで選べるので
激辛好きも満足間違いなし。普通のタンメンもあるので
苦手な方も大丈夫。",35.83864214,139.9657667,red
麺王 南柏店,"評価3.9。中華料理店。スタンダードなものからパーコー麺や
ジャージャー麺もあり、麺類以外ではカレーやかつ丼もある。
とにかくメニューが豊富で安い。",35.84671305,139.9528062,black
麺ぽーかろぅ,"評価3.6。創作ラーメンのお店。
和洋様々なジャンルのラーメンが食べられる。
いつ行っても新しいメニューが食べられる。",35.84671305,139.9547803,black
幸楽苑 酒井根店,評価3.3。言わずと知れたチェーン店。安価なのが特徴,35.82695179,139.9624193,black
ラーメンショップ 新柏店,"評価3.8。所謂ラーショ。(背油豚骨醤油)口コミ500件で3.8評価
高い評価を受けていると言えそう。",35.8444171,139.9761522,black
天藤,"評価4.1。天ぷら屋さん。
リーズナブルに揚げたての天ぷらが食べられる。
天丼がメインで麺類はそばのみ。",35.83036166,139.9565828,gray
うどん市南柏店,"評価4.0。うどん屋さん。
かつ丼やしらす丼、天丼などもありメニュー豊富。
うどんを使ったつけ麺など創作料理もある。",35.83864214,139.9475706,white