罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,盛岡東,おおみや,32018,岩手県,盛岡市,向中野２丁目,2021/6/5,14,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡東,おおみや,32018,岩手県,盛岡市,向中野２丁目,2021/10/22,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡東,おおみや,32018,岩手県,盛岡市,向中野４丁目,2021/6/23,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,法人・団体、被害者なし,法人・団体、被害者なし,施錠せず
窃盗,自転車盗,盛岡東,おおみや,32018,岩手県,盛岡市,本宮５丁目,2021/9/19,6,その他,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,おおみや,32018,岩手県,盛岡市,本宮７丁目,2021/8/3,18,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,おおみや,32018,岩手県,盛岡市,本宮７丁目,2021/9/2,15,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田１丁目,2021/4/21,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田１丁目,2021/5/21,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田３丁目,2019/10/1,12,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田３丁目,2021/3/5,8,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田３丁目,2021/4/21,19,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田３丁目,2021/4/23,16,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田３丁目,2021/5/21,18,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田３丁目,2021/7/2,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田３丁目,2021/7/13,13,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田３丁目,2021/7/18,19,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田３丁目,2021/8/12,8,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田３丁目,2021/9/11,0,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田３丁目,2021/10/1,18,道路上,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田３丁目,2021/10/14,10,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田３丁目,2021/10/24,4,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田３丁目,2021/11/18,20,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田３丁目,2021/12/3,8,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田３丁目,2021/12/14,13,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田４丁目,2020/12/5,9,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田４丁目,2021/4/5,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田４丁目,2021/9/3,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田４丁目,2021/10/29,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田４丁目,2021/11/12,18,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,大学生,施錠した
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,高松１丁目,2021/5/25,8,駐車（輪）場,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,高松１丁目,2021/10/25,18,その他の住宅（３階建て以下共同住宅等）,その他,10歳代,大学生,施錠した
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,高松２丁目,2021/11/16,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,高松４丁目,2021/3/30,7,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,高松４丁目,2021/12/2,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,館向町,2021/5/6,20,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,館向町,2021/5/7,17,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,館向町,2021/5/10,22,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,館向町,2021/6/9,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,館向町,2021/6/14,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,館向町,2021/12/17,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,箱清水１丁目,2021/11/25,15,一戸建住宅,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,中ノ橋,32018,岩手県,盛岡市,志家町,2021/4/27,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,中ノ橋,32018,岩手県,盛岡市,中ノ橋通１丁目,2021/11/10,22,その他,駐車（輪）場,60-64歳,その他,施錠した
窃盗,自転車盗,盛岡東,中ノ橋,32018,岩手県,盛岡市,中ノ橋通２丁目,2021/3/20,7,道路上,その他,70歳以上,その他,施錠せず
窃盗,自転車盗,盛岡東,中ノ橋,32018,岩手県,盛岡市,南大通１丁目,2020/12/13,9,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,盛岡東,乙部,32018,岩手県,盛岡市,乙部５地割,不明,不明,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,仙北町,32018,岩手県,盛岡市,仙北２丁目,2021/2/19,20,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡東,仙北町,32018,岩手県,盛岡市,仙北２丁目,2021/4/7,17,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,盛岡東,仙北町,32018,岩手県,盛岡市,仙北２丁目,2021/4/30,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡東,仙北町,32018,岩手県,盛岡市,仙北２丁目,2021/5/13,8,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡東,仙北町,32018,岩手県,盛岡市,仙北２丁目,2021/5/14,18,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,盛岡東,仙北町,32018,岩手県,盛岡市,仙北２丁目,2021/5/24,7,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,盛岡東,仙北町,32018,岩手県,盛岡市,仙北２丁目,2021/5/31,7,駐車（輪）場,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,仙北町,32018,岩手県,盛岡市,仙北２丁目,2021/7/13,20,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡東,仙北町,32018,岩手県,盛岡市,仙北２丁目,2021/7/21,8,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,仙北町,32018,岩手県,盛岡市,仙北２丁目,2021/8/18,7,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡東,仙北町,32018,岩手県,盛岡市,仙北２丁目,2021/9/16,7,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,盛岡東,仙北町,32018,岩手県,盛岡市,仙北２丁目,2021/10/3,10,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡東,仙北町,32018,岩手県,盛岡市,仙北３丁目,2021/8/27,10,一戸建住宅,その他,10歳代,小学生,施錠した
窃盗,自転車盗,盛岡東,仙北町,32018,岩手県,盛岡市,西仙北１丁目,2021/5/25,16,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,仙北町,32018,岩手県,盛岡市,西仙北１丁目,2021/7/6,8,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,仙北町,32018,岩手県,盛岡市,南仙北１丁目,2021/5/17,8,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,仙北町,32018,岩手県,盛岡市,南仙北２丁目,2021/6/25,17,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,仙北町,32018,岩手県,盛岡市,南仙北３丁目,2021/7/31,12,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,加賀野,32018,岩手県,盛岡市,上ノ橋町,2021/7/17,8,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,盛岡東,加賀野,32018,岩手県,盛岡市,神明町,2021/5/23,19,駐車（輪）場,駐車（輪）場,65-69歳,その他,施錠した
窃盗,自転車盗,盛岡東,加賀野,32018,岩手県,盛岡市,東新庄２丁目,2021/9/4,0,一戸建住宅,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,加賀野,32018,岩手県,盛岡市,山岸１丁目,2021/1/23,18,一戸建住宅,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,加賀野,32018,岩手県,盛岡市,山岸２丁目,2021/12/3,20,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,加賀野,32018,岩手県,盛岡市,山岸２丁目,2021/12/20,7,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,盛岡東,加賀野,32018,岩手県,盛岡市,若園町,2021/9/29,12,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,北山,32018,岩手県,盛岡市,愛宕町,2021/7/16,0,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,北山,32018,岩手県,盛岡市,上田堤１丁目,2021/4/18,12,一戸建住宅,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,本町,32018,岩手県,盛岡市,材木町,2021/4/12,20,その他,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,本町,32018,岩手県,盛岡市,材木町,2021/12/17,11,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,盛岡東,本町,32018,岩手県,盛岡市,中央通３丁目,2021/7/1,10,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,盛岡東,本町,32018,岩手県,盛岡市,長田町,2021/5/10,23,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,本町,32018,岩手県,盛岡市,本町通１丁目,2021/12/3,11,その他,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,本町,32018,岩手県,盛岡市,本町通２丁目,2021/6/25,20,駐車（輪）場,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,本町,32018,岩手県,盛岡市,本町通３丁目,2021/9/3,20,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,浅岸,32018,岩手県,盛岡市,つつじが丘,2021/3/1,15,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,浅岸,32018,岩手県,盛岡市,つつじが丘,2021/4/14,21,一戸建住宅,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,菜園,32018,岩手県,盛岡市,,2021/5/12,13,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,菜園,32018,岩手県,盛岡市,大沢川原１丁目,2021/10/1,4,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,盛岡東,菜園,32018,岩手県,盛岡市,大沢川原３丁目,2021/5/5,19,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,菜園,32018,岩手県,盛岡市,大通１丁目,2021/5/8,16,その他,その他,65-69歳,その他,施錠せず
窃盗,自転車盗,盛岡東,菜園,32018,岩手県,盛岡市,大通１丁目,2021/8/10,21,道路上,その他,20歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,菜園,32018,岩手県,盛岡市,大通１丁目,2021/10/11,8,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,菜園,32018,岩手県,盛岡市,大通１丁目,2021/10/29,23,道路上,その他,20歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,菜園,32018,岩手県,盛岡市,大通２丁目,2021/6/12,10,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,菜園,32018,岩手県,盛岡市,大通２丁目,2021/9/30,13,その他,その他,10歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,菜園,32018,岩手県,盛岡市,大通２丁目,2021/10/2,3,道路上,その他,40歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,菜園,32018,岩手県,盛岡市,大通３丁目,2021/8/28,12,道路上,その他,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡東,菜園,32018,岩手県,盛岡市,大通３丁目,2021/9/22,14,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,菜園,32018,岩手県,盛岡市,菜園２丁目,2021/3/5,18,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,盛岡東,菜園,32018,岩手県,盛岡市,中央通１丁目,2021/4/5,18,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,菜園,32018,岩手県,盛岡市,中央通１丁目,2021/9/27,15,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,見前,32018,岩手県,盛岡市,三本柳４地割,2021/11/25,16,一戸建住宅,駐車（輪）場,70歳以上,その他,施錠せず
窃盗,自転車盗,盛岡東,見前,32018,岩手県,盛岡市,三本柳８地割,2021/10/14,16,駐車（輪）場,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,盛岡東,見前,32018,岩手県,盛岡市,三本柳８地割,2021/10/15,16,駐車（輪）場,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,盛岡東,見前,32018,岩手県,盛岡市,三本柳９地割,2021/8/4,11,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,見前,32018,岩手県,盛岡市,津志田１４地割,2021/10/29,10,その他,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,見前,32018,岩手県,盛岡市,永井１７地割,2021/1/4,18,その他,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,盛岡東,見前,32018,岩手県,盛岡市,永井１７地割,2021/2/9,7,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡東,見前,32018,岩手県,盛岡市,永井１７地割,2021/2/25,14,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,盛岡東,見前,32018,岩手県,盛岡市,永井１７地割,2021/6/3,17,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡東,見前,32018,岩手県,盛岡市,永井１７地割,2021/7/9,19,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡東,見前,32018,岩手県,盛岡市,永井１７地割,2021/8/10,15,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡東,見前,32018,岩手県,盛岡市,永井１７地割,2021/8/11,19,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡東,見前,32018,岩手県,盛岡市,永井１７地割,2021/8/22,8,その他,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,見前,32018,岩手県,盛岡市,永井１７地割,2021/9/1,7,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡東,見前,32018,岩手県,盛岡市,永井１７地割,2021/9/12,18,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡東,見前,32018,岩手県,盛岡市,永井１７地割,2021/11/22,7,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,盛岡東,見前,32018,岩手県,盛岡市,永井１７地割,2021/11/24,19,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡東,見前,32018,岩手県,盛岡市,永井１７地割,2021/11/30,18,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,盛岡東,見前,32018,岩手県,盛岡市,永井１７地割,2021/12/20,16,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡東,見前,32018,岩手県,盛岡市,東見前８地割,2021/10/8,9,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,見前,32018,岩手県,盛岡市,津志田中央１丁目,2021/7/3,11,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,見前,32018,岩手県,盛岡市,津志田南１丁目,2021/11/13,11,駐車（輪）場,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,盛岡東,飯岡,32018,岩手県,盛岡市,北飯岡２丁目,2021/12/7,11,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡東,飯岡,32018,岩手県,盛岡市,北飯岡３丁目,2021/8/6,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,岩手,八幡平,32140,岩手県,八幡平市,大更第２５地割,2021/3/25,11,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,紫波,佐比内,33219,岩手県,紫波町,北田字道地,2021/2/24,14,一戸建住宅,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,紫波,古舘,33219,岩手県,紫波町,中島字落合,2021/1/12,7,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,紫波,古舘,33219,岩手県,紫波町,中島字落合,2021/5/19,9,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,紫波,古舘,33219,岩手県,紫波町,中島字落合,2021/7/9,6,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,紫波,古舘,33219,岩手県,紫波町,中島字落合,2021/7/16,7,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,紫波,矢巾,33227,岩手県,矢巾町,大字高田第１５地割,2021/7/4,8,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,紫波,矢巾,33227,岩手県,矢巾町,大字藤沢第６地割,2021/10/5,21,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,紫波,矢巾,33227,岩手県,矢巾町,医大通１丁目,2021/5/18,7,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,紫波,矢巾,33227,岩手県,矢巾町,医大通１丁目,2021/6/30,9,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,紫波,矢巾,33227,岩手県,矢巾町,駅東１丁目,2021/3/4,17,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,紫波,矢巾,33227,岩手県,矢巾町,駅東１丁目,2021/4/30,9,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,紫波,矢巾,33227,岩手県,矢巾町,駅東１丁目,2021/5/30,12,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,紫波,矢巾,33227,岩手県,矢巾町,駅東１丁目,2021/7/31,16,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,紫波,矢巾,33227,岩手県,矢巾町,駅東１丁目,2021/9/24,7,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,紫波,矢巾,33227,岩手県,矢巾町,駅東１丁目,2021/10/12,7,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,紫波,矢巾,33227,岩手県,矢巾町,駅東１丁目,2021/11/22,21,その他,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,紫波,署在地,33219,岩手県,紫波町,桜町１丁目,2021/9/4,16,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,紫波,署在地,33219,岩手県,紫波町,紫波中央駅前１丁目,2021/5/26,8,駐車（輪）場,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,紫波,署在地,33219,岩手県,紫波町,紫波中央駅前１丁目,2021/8/23,7,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,紫波,署在地,33219,岩手県,紫波町,紫波中央駅前４丁目,2021/4/19,21,一戸建住宅,その他,50歳代,その他,施錠した
窃盗,自転車盗,花巻,宮野目,32051,岩手県,花巻市,二枚橋第５地割,2021/8/9,7,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
